noise,block,trial,emg,score,soa
0.1,0,0,1,0.834066419,
0.3,0,1,1,0.893926739,
0.2,0,2,1,0.848881109,9
0.1,0,3,1,0.839842326,6
0,0,4,1,0.880943881,7
0,0,5,1,0.840346114,3
0.3,0,6,1,0.847935356,6
0.1,0,7,1,0.846440172,5
0.2,0,8,1,0.825885822,2
0.2,0,9,1,0.81928609,3
0.3,0,10,1,0.839787957,4
0.3,0,11,1,0.797905321,6
0.3,0,12,1,0.843235057,9
0.1,0,13,1,0.884096008,7
0,0,14,1,0.871299933,6
0.2,0,15,1,0.894355004,
0,0,16,1,0.733449359,4
0.2,0,17,1,0.860571161,6
0,0,18,1,0.830377925,8
0.1,0,19,1,0.872242601,
