noise,block,trial,emg,score
0.0,0,0,0,0.909897533054
0.3,0,1,0,0.904509698187
0.2,0,2,0,0.861777054461
0.0,0,3,0,0.882756568341
0.0,0,4,0,0.889999734927
0.3,0,5,0,0.813592291754
0.1,0,6,0,0.901007066711
0.2,0,7,0,0.895089512154
0.2,0,8,0,0.877861547143
0.0,0,9,0,0.90810998202
0.3,0,10,0,0.838749824401
0.1,0,11,0,0.859037018712
0.2,0,12,0,0.90634885005
0.1,0,13,0,0.905164464253
0.2,0,14,0,0.885766819293
0.1,0,15,0,0.87833986757
0.3,0,16,0,0.84668294522
0.3,0,17,0,0.891131180206
0.1,0,18,0,0.927753212038
0.0,0,19,0,0.914334993184
0.2,1,0,0,0.86333094115
0.2,1,1,0,0.895369113639
